cidade,lat,lon,regiao
Abadia dos Dourados,-18.4831,-47.3916,Triângulo Mineiro/Alto Paranaíba
Abaeté,-19.1551,-45.4444,Central Mineira
Abre Campo,-20.2996,-42.4743,Zona da Mata
Acaiaca,-20.359,-43.1439,Zona da Mata
Açucena,-19.0671,-42.5419,Vale do Rio Doce
Água Boa,-17.9914,-42.3806,Vale do Rio Doce
Água Comprida,-20.0576,-48.1069,Triângulo Mineiro/Alto Paranaíba
Aguanil,-20.9439,-45.3915,Oeste de Minas
Águas Formosas,-17.0802,-40.9384,Vale do Mucuri
Águas Vermelhas,-15.7431,-41.4571,Norte de Minas
Aimorés,-19.5007,-41.0746,Vale do Rio Doce
Aiuruoca,-21.9736,-44.6042,Sul/Sudoeste de Minas
Alagoa,-22.171,-44.6413,Sul/Sudoeste de Minas
Albertina,-22.2018,-46.6139,Sul/Sudoeste de Minas
Além Paraíba,-21.8797,-42.7176,Zona da Mata
Alfenas,-21.4256,-45.9477,Sul/Sudoeste de Minas
Alfredo Vasconcelos,-21.1535,-43.7718,Campo das Vertentes
Almenara,-16.1785,-40.6942,Jequitinhonha
Alpercata,-18.974,-41.97,Vale do Rio Doce
Alpinópolis,-20.8631,-46.3878,Sul/Sudoeste de Minas
Alterosa,-21.2488,-46.1387,Sul/Sudoeste de Minas
Alto Caparaó,-20.431,-41.8738,Zona da Mata
Alto Jequitibá,-20.4208,-41.967,Zona da Mata
Alto Rio Doce,-21.0281,-43.4067,Zona da Mata
Alvarenga,-19.4174,-41.7317,Vale do Rio Doce
Alvinópolis,-20.1098,-43.0535,Metropolitana de Belo Horizonte
Alvorada de Minas,-18.7334,-43.3638,Metropolitana de Belo Horizonte
Amparo do Serra,-20.5051,-42.8009,Zona da Mata
Andradas,-22.0695,-46.5724,Sul/Sudoeste de Minas
Andrelândia,-21.7411,-44.3117,Sul/Sudoeste de Minas
Angelândia,-17.7279,-42.2641,Jequitinhonha
Antônio Carlos,-21.321,-43.7451,Campo das Vertentes
Antônio Dias,-19.6491,-42.8732,Vale do Rio Doce
Antônio Prado de Minas,-21.0192,-42.1109,Zona da Mata
Araçaí,-19.1955,-44.2493,Metropolitana de Belo Horizonte
Aracitaba,-21.3446,-43.3736,Zona da Mata
Araçuaí,-16.8523,-42.0637,Jequitinhonha
Araguari,-18.6456,-48.1934,Triângulo Mineiro/Alto Paranaíba
Arantina,-21.9102,-44.2555,Sul/Sudoeste de Minas
Araponga,-20.6686,-42.5178,Zona da Mata
Araporã,-18.4357,-49.1847,Triângulo Mineiro/Alto Paranaíba
Arapuá,-19.0268,-46.1484,Triângulo Mineiro/Alto Paranaíba
Araújos,-19.9405,-45.1671,Central Mineira
Araxá,-19.5902,-46.9438,Triângulo Mineiro/Alto Paranaíba
Arceburgo,-21.359,-46.9401,Sul/Sudoeste de Minas
Arcos,-20.2863,-45.5373,Oeste de Minas
Areado,-21.3572,-46.1421,Sul/Sudoeste de Minas
Argirita,-21.6083,-42.8292,Zona da Mata
Aricanduva,-17.8666,-42.5533,Jequitinhonha
Arinos,-15.9187,-46.1043,Noroeste de Minas
Astolfo Dutra,-21.3184,-42.8572,Zona da Mata
Ataléia,-18.0438,-41.1149,Vale do Mucuri
Augusto de Lima,-18.0997,-44.2655,Central Mineira
Baependi,-21.957,-44.8874,Sul/Sudoeste de Minas
Baldim,-19.2832,-43.9613,Metropolitana de Belo Horizonte
Bambuí,-20.0166,-45.9754,Oeste de Minas
Bandeira,-15.8783,-40.5622,Jequitinhonha
Bandeira do Sul,-21.7308,-46.3833,Sul/Sudoeste de Minas
Barão de Cocais,-19.9389,-43.4755,Metropolitana de Belo Horizonte
Barão de Monte Alto,-21.2444,-42.2372,
Barbacena,-21.2214,-43.7703,Campo das Vertentes
Barra Longa,-20.2869,-43.0402,Zona da Mata
Barroso,-21.1907,-43.972,Campo das Vertentes
Bela Vista de Minas,-19.8302,-43.0922,Metropolitana de Belo Horizonte
Belmiro Braga,-21.944,-43.4084,Zona da Mata
Belo Horizonte,-19.9102,-43.9266,Metropolitana de Belo Horizonte
Belo Oriente,-19.2199,-42.4828,Vale do Rio Doce
Belo Vale,-20.4077,-44.0275,Metropolitana de Belo Horizonte
Berilo,-16.9567,-42.4606,Jequitinhonha
Berizal,-15.61,-41.7432,Norte de Minas
Bertópolis,-17.059,-40.58,Vale do Mucuri
Betim,-19.9668,-44.2008,Metropolitana de Belo Horizonte
Bias Fortes,-21.602,-43.7574,Zona da Mata
Bicas,-21.7232,-43.056,Zona da Mata
Biquinhas,-18.7754,-45.4974,Central Mineira
Boa Esperança,-21.0927,-45.5612,Sul/Sudoeste de Minas
Bocaina de Minas,-22.1697,-44.3972,Sul/Sudoeste de Minas
Bocaiúva,-17.1135,-43.8104,Norte de Minas
Bom Despacho,-19.7386,-45.2622,Central Mineira
Bom Jardim de Minas,-21.9479,-44.1885,Sul/Sudoeste de Minas
Bom Jesus da Penha,-21.0148,-46.5174,Sul/Sudoeste de Minas
Bom Jesus do Amparo,-19.7054,-43.4782,Metropolitana de Belo Horizonte
Bom Jesus do Galho,-19.836,-42.3165,Vale do Rio Doce
Bom Repouso,-22.4675,-46.144,Sul/Sudoeste de Minas
Bom Sucesso,-21.0329,-44.7537,Oeste de Minas
Bonfim,-20.3302,-44.2366,Metropolitana de Belo Horizonte
Bonfinópolis de Minas,-16.568,-45.9839,Noroeste de Minas
Bonito de Minas,-15.3231,-44.7543,Norte de Minas
Borda da Mata,-22.2707,-46.1653,Sul/Sudoeste de Minas
Botelhos,-21.6412,-46.391,Sul/Sudoeste de Minas
Botumirim,-16.8657,-43.0086,Norte de Minas
Brás Pires,-20.8419,-43.2406,Zona da Mata
Brasilândia de Minas,-16.9999,-46.0081,Noroeste de Minas
Brasília de Minas,-16.2104,-44.4299,Norte de Minas
Braúnas,-19.0562,-42.7099,Vale do Rio Doce
Brazópolis,-22.4743,-45.6166,Sul/Sudoeste de Minas
Brumadinho,-20.151,-44.2007,Metropolitana de Belo Horizonte
Bueno Brandão,-22.4383,-46.3491,Sul/Sudoeste de Minas
Buenópolis,-17.8744,-44.1775,Central Mineira
Bugre,-19.4231,-42.2552,Vale do Rio Doce
Buritis,-15.6218,-46.4221,Noroeste de Minas
Buritizeiro,-17.3656,-44.9606,Norte de Minas
Cabeceira Grande,-16.0335,-47.0862,Noroeste de Minas
Cabo Verde,-21.4699,-46.3919,Sul/Sudoeste de Minas
Cachoeira da Prata,-19.521,-44.4544,Metropolitana de Belo Horizonte
Cachoeira de Minas,-22.3511,-45.7809,Sul/Sudoeste de Minas
Cachoeira de Pajeú,-15.9688,-41.4948,Jequitinhonha
Cachoeira Dourada,-18.5161,-49.5039,Triângulo Mineiro/Alto Paranaíba
Caetanópolis,-19.2971,-44.4189,Metropolitana de Belo Horizonte
Caeté,-19.8826,-43.6704,Metropolitana de Belo Horizonte
Caiana,-20.6956,-41.9292,Zona da Mata
Cajuri,-20.7903,-42.7925,Zona da Mata
Caldas,-21.9183,-46.3843,Sul/Sudoeste de Minas
Camacho,-20.6294,-45.1593,Oeste de Minas
Camanducaia,-22.7515,-46.1494,Sul/Sudoeste de Minas
Cambuí,-22.6115,-46.0572,Sul/Sudoeste de Minas
Cambuquira,-21.854,-45.2896,Sul/Sudoeste de Minas
Campanário,-18.2427,-41.7355,Vale do Rio Doce
Campanha,-21.836,-45.4004,Sul/Sudoeste de Minas
Campestre,-21.7079,-46.2381,Sul/Sudoeste de Minas
Campina Verde,-19.5382,-49.4862,Triângulo Mineiro/Alto Paranaíba
Campo Azul,-16.5028,-44.8096,Norte de Minas
Campo Belo,-20.8932,-45.2699,Oeste de Minas
Campo do Meio,-21.1127,-45.8273,Sul/Sudoeste de Minas
Campo Florido,-19.7631,-48.5716,Triângulo Mineiro/Alto Paranaíba
Campos Altos,-19.6914,-46.1725,Triângulo Mineiro/Alto Paranaíba
Campos Gerais,-21.237,-45.7569,Sul/Sudoeste de Minas
Cana Verde,-21.0232,-45.1801,Oeste de Minas
Canaã,-20.6869,-42.6167,Zona da Mata
Canápolis,-18.7212,-49.2035,Triângulo Mineiro/Alto Paranaíba
Candeias,-20.7692,-45.2765,Oeste de Minas
Cantagalo,-18.5248,-42.6223,Vale do Rio Doce
Caparaó,-20.5289,-41.9061,Zona da Mata
Capela Nova,-20.9179,-43.622,Campo das Vertentes
Capelinha,-17.6888,-42.5147,Jequitinhonha
Capetinga,-20.6163,-47.0571,Sul/Sudoeste de Minas
Capim Branco,-19.5471,-44.1304,Metropolitana de Belo Horizonte
